;;;;;;;;;;;;;;
1;8;Дебиторская задолженность на начало долгосрочная;;;;;;R54C186;62131(2);стр107_гр4;стр192_гр4;192|4|;|107|4|;|192|4|
2;8;Дебиторская задолженность на начало краткосрочная;;;;;;R55C186;62132 (2) ;стр108_гр4;стр190_гр4;190|4|;|108|4|;|190|4|
3;;Дебиторская задолженность на конец долгосрочная;;;;;;R54C178;62131(1) ;стр107_гр3;стр192_гр3;192|3|;|107|3|;|192|3|
4;;Дебиторская задолженность на конец краткосрочная;;;;;;R55C178;62132(1);стр108_гр3;стр190_гр3;190|3|;|108|3|;|190|3|
5;;Кредиторская за корма;;;;;;R78C178;62161.6(1);стр136_гр3;стр138_гр3;138|3|;|136|4|;|138|3|
6;;Кредиторская за семена;;;;;;R79C178;62161.7(1);стр137_гр3;стр139_гр3;139|3|;|137|4|;|139|3|
7;;Кредиторская ГСМ;;;;;;R75C178;62161.3(1);стр133_гр3;стр134_гр3;134|3|;|133|4|;|134|3|
9;;Просроченная кредиторская задолженность краткосрочная на начало периода;;;;;;R70C186;62153(2);стр113_гр7;стр191_гр4;191|4|;|113|7|;|191|4|
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
10;;Просроченная кредиторская задолженность краткосрочная на конец периода;;;;;;R70C178;62170(1);стр146_гр3;стр191_гр3;191|3|;|113|6|;|191|3|
11;;;;;;;;;;;;;;
12;;;;;;;;;;;;;;
17;;Кредиторская задолженность, в том числе расчеты с поставщиками и подрядчиками Сумма, тыс. руб.;;;;;;R72C178;62161(1);стр130_гр3;стр130_гр3;130|3|;|130|3|;|130|3|
19;;Кредиторская задолженность, в том числе за мин. Удобрения Сумма, тыс. руб.;;;;;;R76C178;62161.4 (1);стр134_гр3;стр136_гр3;136|3|;|134|3|;|136|3|
20;;Кредиторская задолженность, в том числе за средства защиты Сумма, тыс. руб.;;;;;;R77C178;62161.5(1);стр135_гр3;стр137_гр3;137|3|;|135|3|;|137|3|
;;;;;;;;;;;;;;
24;;Кредиторская задолженность перед персоналом на 01.01. текущего года;;;;;;;;стр142_гр4;стр143_гр4;стр142_гр4;|142|4|;|143|4|
24;;Кредиторская задолженность перед персоналом на 01.10. текущего года;;;;;;;;стр142_гр3;стр143_гр3;стр142_гр3;|142|3|;|143|3|
24;;Кредиторская задолженность, в том числе перед госуд. внебюджетными фондами Сумма, тыс. руб.;;;;;;R85C178;62163 (1);стр143_гр3;стр144_гр3;144|3|;|143|3|;|144|3|
25;;Кредиторская задолженность, в том числе по налогам и сборам  Сумма, тыс. руб.;;;;;;R86C178;62164 (1);стр144_гр3;стр145_гр3;145|3|;|144|3|;|145|3|
26;;Кредиторская задолженность, в том числе прочая Сумма, тыс. руб. ;;;;;;R87C178;62165 (1);стр145_гр3;стр146_гр3;146|3|;|145|3|;|146|3|
