отчет;;7 апк;надо исправить;8сх;было, надо
1;Общий финансовый результат (до налогообложения), тыс. руб., Текущий год (ожидаемый);d30;;;
1;Предыдущий год (9 мес.);d23;;;
2;Прибыль (убыток) от реализации по прибыльным организациям;f30;;;
2;Прибыль (убыток) от реализации по убыточным организациям;h30;;;
2;Число прибыльных хозяйств, шт.;f21;;;
2;Число убыточных хозяйств, шт.;h21;;;
3;Выручка от реализации, Текущий год (ожидаемый);d22;;;
3;Себестоимость реализованной продукции Текущий год (ожидаемый);d23;;;
4;Прибыль по прибыльным организациям;f30;;;
4;Убыток по убыточным организациям;h30;;;
5;Прибыль (+), убыток (-) от продаж от продаж Текущий (ожидаемый);d26;;;
6;Выручка от реализации продукции сельского хозяйства Текущий год (ожидаемый) Справочно: прибыль (убыток) до налогообложения;d30;;;
9;Выручка от реализации (ожидаемая);d22;;;
9;Объем бюджетного (целевого) финансирования Ожидаемый за текущий год;d28;;;
9;Себестоимость производства продукции Текущий год (ожидаемая);f43;;;
11;Поголовье птицы;c83;;;
11;Произведено яйца,тыс.шт;d83;;;
11;Себестоимость производства, тыс.руб.;f83;;;
11;Реализовано яйца;c126;;;
11;Полная себестоимость;d126;;;
11;Выручка от реализации;f126;;;
12;Поголовье птицы;c84;;;
12;Произведено мяса птицы;d84;;;
12;Себестоимость производства, тыс.руб.;f84;;;
12;Реализовано мяса птицы;c124;;;
12;Полная себестоимость, тыс. руб.;d124;;;
12;Выручка от реализации, тыс. руб.;f124;;;
12;Реализовано мяса птицы в переработанном виде;c269;;;
12;Полная себестоимость, тыс. руб.;d269;;;
12;Выручка от реализации, тыс. руб.;f269;;;
13;Поголовье свиней;c74;;;
13;Произведено мяса свиней;d74;;;
13;Себестоимость производства, тыс.руб.;f74;;;
13;Реализовано мяса свиней;c123;;;
13;Полная себестоимость, тыс. руб.;d123;;;
13;Выручка от реализации, тыс. руб.;f123;;;
13;Реализовано мяса свиней в переработанном виде;c267;;;
13;Полная себестоимость, тыс. руб.;d267;;;
13;Выручка от реализации, тыс. руб.;f267;;;
14;Реализовано мяса КРС;c121;;;
14;Полная себестоимость, тыс. руб.;d121;;;
14;Выручка от реализации, тыс. руб.;f121;;;
14;Реализовано мяса КРС в переработанном виде;c266;;;
14;Полная себестоимость, тыс. руб.;d266;;;
14;Выручка от реализации, тыс. руб.;f266;;;
15;Поголовье коров;c67;;;
15;Произведено молока;d67;;;
15;Себестоимость производства, тыс.руб.;f67;;;
15;Реализовано молока;c117;;;
15;Полная себестоимость, тыс. руб.;d117;;;
15;Выручка от реализации, тыс. руб.;f117;;;
15;Реализовано молока в переработанном виде;c264;;;
15;Полная себестоимость, тыс. руб.;d264;;;
15;Выручка от реализации, тыс. руб.;f246;;;
16;Площадь посева овощей открытого грунта;c56;;;
16;Произведено овощей, цн;d56;;;
16;Себестоимость производства, тыс. руб.;f56;;;
16;Реализовано овощей;c107;;;
16;Полная себестоимость, тыс. руб.;d107;;;
16;Выручка от реализации;f107;;;
17;Площадь посева картофеля;c57;;;
17;Произведено картофеля, цн;d57;;;
17;Себестоимость производства, тыс. руб.;f57;;;
17;Реализовано картофеля;c108;;;
17;Полная себестоимость;d108;;;
17;Выручка от реализации;f108;;;
18;Площадь посева подсолнечника;c53;;;
18;Произведено подсолнечника, цн;d53;;;
18;Себестоимость производства, тыс. руб.;f53;;;
18;Реализовано подсолнечника;c104;;;
18;Полная себестоимость;d104;;;
18;Выручка от реализации;f104;;;
18;Площадь посева кукурузы;c47;;;
18;Произведено кукурузы, цн;d47;;;
18;Площадь посева рапса;c52;;;
18;Произведено рапса, цн;d52;;;
18;Себестоимость производства рапса, тыс. руб.;f52;;;
18;Реализовано рапса;c103;;;
18;Полная себестоимость рапса;d103;;;
18;Выручка от реализации рапса;f103;;;
19;Площадь посева зерна;c45;;;
19;Произведено зерна, цн;d45;;;
19;Себестоимость производства, тыс. руб.;f45;;;
19;Реализовано зерна;c95;;;
19;Полная себестоимость, тыс. руб.;d95;;;
19;Выручка от реализации;f95;;;
20;Выручка мяса овец;f122;;;
20;Себестоимость мяса овец;d122;;;
20;Выручка шерсти;f127;;;
20;Себестоимость шерсти;d127;;;
20;Поголовье овец;с81;;;
20;Мясо;d81;;;
20;Поголовье овец;c77;;;
20;Шерсть;d77;;;
21;Зерновые и зернобобовые   Отчетный год;c95;;;
21;Подсолнечника  Отчетный год;с104;;;
21;Кукурузы Отчетный год;с98;;;
21;Рапс Отчетный год;с103;;;
21;Овощей открытого грунта Отчетный год;с108;;;
22;Молока Отчетный год;c117;;;
22;Яйца, (тыс.шт) Отчетный год;с126;;;
22;Шерсти, тн Отчетный год;с127;;;
22;Переработка продукции животноводства Молоко;c264;;;
22;Переработка продукции животноводства КРС;c266;;;
22;Переработка продукции животноводства Свиньи;c267;;;
22;Переработка продукции животноводства Овцы;c268;;;
22;Переработка продукции животноводства Птица;c269;;;
22;Производство продукции животноводства молоко;c117;;;
22;Производство продукции животноводства крс;c121;;;
22;Производство продукции животноводства свиньи;c123;;;
22;Производство продукции животноводства овцы;c122;;;
22;Производство продукции животноводства птица;c124;;;
24;Выручка от реализации Текущий год (ожидаемая);d22;;;
25;Зерновые и зернобобовые Текущий год Площадь, га;c45;;;
25;Подсолнечник Текущий год;c53;;;
25;Картофель Текущий год;c57;;;
25;Рапс Текущий год;c52;;;
25;Овощи открытого грунта Текущий год;c56;;;
25;Кукуруза Текущий год;c47;;;
25;Коровы Текущий год;c67;;;
25;Свиньи Текущий год;c74;;;
25;Птица на выращивании;c84;;;
25;Птица на яйцо;c83;;;
25;Овцы на выращивании;с81;;;
25;Овцы шерсть;c77;;;
26;Произведено, тонн Зерновые и зернобобовые (в бункерном весе) Текущий год;d45;;;
26;Произведено, тонн Подсолнечник (в бункерном весе) Текущий год;d53;;;
26;Произведено, тонн Кукуруза Текущий год;d47;;;
26;Произведено, тонн Рапс Текущий год;d52;;;
26;Произведено, тонн Картофель Текущий год;d57;;;
26;Произведено, тонн Овощи открытого грунта Текущий год;d56;;;
26;Выращено (в живой массе), тонн Свиней Текущий год;d74;;;
26;Выращено (в живой массе), тонн Овец Текущий год;d81;;;
26;Выращено (в живой массе), тонн Птицы Текущий год;d84;;;
26;Произведено, тонн Молока Текущий год;d67;;;
26;Произведено, тонн Яйцо, (тыс. шт.) Текущий год;d83;;;
;;;;;
;;;;;
26;Произведено, тонн Зерновые и зернобобовые (в бункерном весе) Текущий год;d45;;;
26;Произведено, тонн Подсолнечник (в бункерном весе) Текущий год;d247;;;
26;Произведено, тонн Кукуруза Текущий год;d85;;;
26;Произведено, тонн Рапс Текущий год;d52;;;
26;Произведено, тонн Картофель Текущий год;с69;;;
26;Произведено, тонн Овощи открытого грунта Текущий год;d56;;;
26;Выращено (в живой массе), тонн Свиней Текущий год;d74;;;
26;Выращено (в живой массе), тонн Овец Текущий год;d81;;;
26;Выращено (в живой массе), тонн Птицы Текущий год;d84;;;
26;Произведено, тонн Молока Текущий год;d67;;;
26;Произведено, тонн Яйцо, (тыс. шт.) Текущий год;d69;;;
;;;;;
;;;;;
;;;;;
;;f94;;;
;;;;;
;;f116;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;стр73222_Гр3;;Стр121_Гр3
;;;стр73100_Гр6;;Стр304_Гр6
;;;стр73100_Гр4;;Стр304_Гр4
;;;стр76100_Гр6;;Стр357_Гр6
;;;стр76100_Гр4;;Стр357_Гр4
;;;стр73200_Гр6;;Стр110_Гр6
;;;стр73200_Гр4;;Стр110_Гр4
;;;стр76200_Гр6;;Стр355_Гр6
;;;стр76200_Гр4;;Стр355_Гр4
