отчет;;;надо исправить;;было, надо;повтор;
1;Общий финансовый результат (до налогообложения), тыс. руб., Текущий год (ожидаемый);d30;стр71500_Гр4;e110;Стр480_Гр4;;
1;Предыдущий год (9 мес.);d23;стр71310_Гр4;e102;Стр440_Гр5;;
;;;;;;;
2;Прибыль (убыток) от реализации по прибыльным организациям;;;;;;
2;Прибыль (убыток) от реализации по убыточным организациям;;;;;;
2;Число прибыльных хозяйств, шт.;f21;стр71100_Гр6;h100;Стр420_Гр5;;
2;Число убыточных хозяйств, шт.;h21;стр71100_Гр8;k100;Стр480_Гр11;;
;;;;;;;
3;Выручка от реализации, Текущий год (ожидаемый);d22;стр71200_Гр4;e101;Стр430_Гр5;;
3;Себестоимость реализованной продукции Текущий год (ожидаемый);d23;стр71310_Гр4;e102;Стр440_Гр5;;
;;;;;;;
4;Прибыль по прибыльным организациям;f30;стр71700_Гр6;h110;Стр480_Гр5;;
4;Убыток по убыточным организациям;h30;стр71700_Гр8;k110;Стр480_Гр11;;
;;;;;;;
5;Прибыль (+), убыток (-) от продаж от продаж Текущий (ожидаемый);d26;стр71400_Гр4;e105;Стр450_Гр5;;
5;Прибыль (+), убыток (-) от растениеводства (без учета субсидий) Текущий (ожидаемый);?;;;;;
5;Прибыль (+), убыток (-) от животноводства( без учета субсидий) Текущий (ожидаемый);?;;;;;
;;;;;;;
6;Выручка от реализации продукции сельского хозяйства Текущий год (ожидаемый) Справочно: прибыль (убыток) до налогообложения;d30;стр71500_Гр4;e110;Стр480_Гр4;повтор;?
6;Выручка от реализации продукции сельского хозяйства Текущий год (ожидаемый) отрасль растениеводства;h94;?;f62;Стр290_Гр6;;
6;Выручка от реализации продукции сельского хозяйства Текущий год (ожидаемый) отрасль животноводства;f116;стр73200_Гр6;f85;Стр360_Гр6;;
;;;;;;;
9;Выручка от реализации (ожидаемая);d22;стр71200_Гр4;e101;Стр430_Гр5;повтор;
9;Объем бюджетного (целевого) финансирования Фактически получено на 01.10. Предыдущего года;?;;;;;
9;Объем бюджетного (целевого) финансирования Фактически получено на 01.10. Текущего года;?;;;;;
9;Объем бюджетного (целевого) финансирования Ожидаемый за текущий год;d28;стр71510_Гр4;e107;Стр461_Гр5;;
9;Себестоимость производства продукции Текущий год (ожидаемая);f43;стр72000_Гр6;f43;Стр190_Гр6;;
;;;;;;;
10;Себестоимость производства продукции Растениеводства Текущий год;d94;стр73100_Гр4;d62;Стр290_Гр4;;
10;Себестоимость производства продукции Животноводства Текущий год;d116;стр73200_Гр4;d85;Стр360_Гр4;;
;;;;;;;
11;Поголовье птицы;c83;стр72251_Гр3;c37;Стр132_Гр3;;
11;Произведено яйца,тыс.шт;d83;стр72251_Гр4;d37;Стр132_Гр4;;
11;Себестоимость производства, тыс.руб.;f83;стр72251_Гр6;f37;Стр132_Гр6;;
11;Реализовано яйца;c126;стр73230_Гр3;c72;Стр330_Гр3;;
11;Полная себестоимость;d126;стр73230_Гр4;d72;Стр330_Гр4;;
11;Выручка от реализации;f126;стр73230_Гр6;f72;Стр330_Гр6;;
;;;;;;;
12;Поголовье птицы;c84;стр72252_Гр3;c36;Стр131_Гр3;;
12;Произведено мяса птицы;d84;стр72252_Гр4;d36;Стр131_Гр4;;
