ORG|ООО "Птицевод"|5514006144
FRM|9 мес. 2017|Форма6АПК|6 АПК 9 мес 2017
DATA|9 мес. 2017|10|3|1
DATA|9 мес. 2017|10|4|10000
DATA|9 мес. 2017|30|3|1
DATA|9 мес. 2017|30|4|10000
DATA|9 мес. 2017|80|3|1
DATA|9 мес. 2017|80|4|10000
DATA|9 мес. 2017|100|3|1839000
DATA|9 мес. 2017|101|3|2985000
DATA|9 мес. 2017|101|4|968000
DATA|9 мес. 2017|101|5|896000
DATA|9 мес. 2017|103|3|29824000
DATA|9 мес. 2017|103|4|21366000
DATA|9 мес. 2017|103|5|18887000
DATA|9 мес. 2017|107|3|42536000
DATA|9 мес. 2017|107|4|26555000
DATA|9 мес. 2017|107|5|17478000
DATA|9 мес. 2017|110|3|21204000
DATA|9 мес. 2017|110|4|24576000
DATA|9 мес. 2017|110|5|32885000
DATA|9 мес. 2017|122|3|56443000
DATA|9 мес. 2017|122|4|47953000
DATA|9 мес. 2017|122|5|43437000
DATA|9 мес. 2017|130|3|1797000
DATA|9 мес. 2017|130|4|1859000
DATA|9 мес. 2017|130|5|3230000
DATA|9 мес. 2017|131|3|135000
DATA|9 мес. 2017|131|4|131000
DATA|9 мес. 2017|131|5|354000
DATA|9 мес. 2017|132|3|12000
DATA|9 мес. 2017|132|4|23000
DATA|9 мес. 2017|132|5|86000
DATA|9 мес. 2017|136|3|1650000
DATA|9 мес. 2017|136|4|1705000
DATA|9 мес. 2017|136|5|2790000
DATA|9 мес. 2017|142|3|3000
DATA|9 мес. 2017|142|4|18000
DATA|9 мес. 2017|142|5|8000
DATA|9 мес. 2017|143|3|107000
DATA|9 мес. 2017|143|4|303000
DATA|9 мес. 2017|143|5|203000
DATA|9 мес. 2017|144|3|45000
DATA|9 мес. 2017|144|4|930000
DATA|9 мес. 2017|144|5|294000
DATA|9 мес. 2017|145|3|10472000
DATA|9 мес. 2017|145|4|13297000
DATA|9 мес. 2017|145|5|13906000
DATA|9 мес. 2017|200|3|57279000
DATA|9 мес. 2017|200|4|69949000
DATA|9 мес. 2017|200|7|-24485000
DATA|9 мес. 2017|210|3|-24879000
DATA|9 мес. 2017|210|4|-30983000
DATA|9 мес. 2017|220|3|394000
DATA|9 мес. 2017|220|4|1120000
DATA|9 мес. 2017|260|3|100
