1;Дебиторская задолженность на начало долгосрочная;;;;;;;;107;4;192;4;end
2;Дебиторская задолженность на начало краткосрочная;;;;;;;;108;4;190;4;end
3;Дебиторская задолженность на конец долгосрочная;;;;;;;;107;3;192;3;end
4;Дебиторская задолженность на конец краткосрочная;;;;;;;;108;3;190;3;end
5;Кредиторская за корма;;;;;;;;136;4;138;3;end
6;Кредиторская за семена;;;;;;;;137;4;139;3;end
7;Кредиторская ГСМ;;;;;;;;133;4;134;3;end
8;Кредиторская диз. Топливо;;;;;;;;повтор;;;;end
9;Просроченная кредиторская задолженность краткосрочная на начало периода;;;;;;;;113;7;191;4;end
10;Просроченная кредиторская задолженность краткосрочная на конец периода;;;;;;;;113;6;191;3;end
11;Просроченная кредиторская задолженность долгосрочная на начало периода;;;;;;;;113;4;;;end
12;Просроченная кредиторская задолженность долгосрочная на конец периода;;;;;;;;113;3;;;end
13;Просроченная дебиторская задолженность краткосрочная на начало периода;;;;;;;;;;;;end
14;Просроченная дебиторская задолженность краткосрочная на конец периода;;;;;;;;;;;;end
15;Просроченная дебиторская задолженность долгосрочная на начало периода;;;;;;;;;;;;end
16;Просроченная дебиторская задолженность долгосрочная на конец периода;;;;;;;;;;;;end
;;;;;;;;;;;;;end
17;Кредиторская задолженность, в том числе расчеты с поставщиками и подрядчиками Сумма, тыс. руб.;;;;;;;;130;3;130;3;end
18;Кредиторская задолженность, в том числе за ГСМ Сумма, тыс. руб.;;;;;;;;;;;;end
19;Кредиторская задолженность, в том числе за мин. Удобрения Сумма, тыс. руб.;;;;;;;;134;3;136;3;end
20;Кредиторская задолженность, в том числе за средства защиты Сумма, тыс. руб.;;;;;;;;135;3;137;3;end
21;Кредиторская задолженность, в том числе за корма и семена;;;;;;;;;;;;end
22;Кредиторская задолженность перед персоналом на 01.01. текущего года;;;;;;;;;;;;end
23;Кредиторская задолженность, в том числе перед персоналом перед персоналом Сумма, тыс. руб.;;;;;;;;142;3;143;3;end
24;Кредиторская задолженность, в том числе перед госуд. внебюджетными фондами Сумма, тыс. руб.;;;;;;;;143;3;144;3;end
25;Кредиторская задолженность, в том числе по налогам и сборам  Сумма, тыс. руб.;;;;;;;;144;3;145;3;end
26;Кредиторская задолженность, в том числе прочая Сумма, тыс. руб. ;;;;;;;;145;3;146;3;end
0;1;2;3;4;5;6;7;8;9;10;11;12;13
